Feature,LASSO,Linear,Ridge,Average_Importance
G2,3.010684482463367,2.9933555975080974,2.964672154435064,2.989570744802176
G1,0.45888559920937916,0.5577815329477388,0.5829852615148465,0.5332174645573214
failures,0.1590820910674417,0.1975809420321146,0.19788938516433482,0.1848508060879637
romantic_yes,0.11510332396699262,0.1806543319251024,0.1824023397806146,0.15938666522423653
Fedu,0.0,0.2083717562007966,0.20803902962767656,0.1388035952761577
Medu,0.0,0.1837287647414146,0.18283218446483104,0.12218698306874855
age,0.05783741538347063,0.138697047962956,0.14030909454125,0.11228118596255889
sex_M,0.0,0.07673596215023744,0.07715641006310377,0.05129745740444707
Mjob_health,0.0,0.036894151666819516,0.036367920469735276,0.02442069071218493
paid_yes,0.0,0.025939632938707328,0.028779476234053275,0.018239703057586865
internet_yes,0.0,0.02501382584229507,0.023783231554948308,0.016265685799081126
address_U,0.0,0.020022246231615633,0.01866653005197306,0.01289625876119623
higher_yes,0.0,0.002571609938990417,0.0025163204281560855,0.0016959767890488342
